type,slug,titre_seo,meta_description
CMS,/,"Les Petites Leçons de Frédéric | Livres jeunesse","Des albums illustrés pour aider les enfants de 7 à 10 ans à observer, comprendre et penser librement."
CMS,/la-collection,"Livres Les Petites Leçons de Frédéric | Collection","Découvrez les albums jeunesse illustrés consacrés à la liberté, la responsabilité, l’économie, la monnaie et Bitcoin."
CMS,/quel-tome-choisir,"Quel livre choisir pour un enfant de 7 à 10 ans ?","Choisissez un tome selon une question : règles, monnaie, solidarité, propriété, consentement, prix ou liberté."
CMS,/univers,"Le village et les personnages | Petites Leçons de Frédéric","Rencontrez Fred, Lina, Tom et Milo dans l’univers illustré des Petites Leçons de Frédéric."
CMS,/parents-educateurs,"Livres d’économie et de liberté pour enfants","Une collection jeunesse pour développer l’observation, le raisonnement, la responsabilité et le dialogue en famille."
PRODUIT,/product/t00-le-grand-carnet-des-idees,"T00 Le grand carnet des idées | Livre jeunesse","Le grand carnet des idées : un album illustré dès 7 ans pour découvrir observer, questionner et suivre les conséquences."
PRODUIT,/product/t01-les-marchands-de-chandelles,"T01 Les marchands de chandelles | Livre jeunesse","Les marchands de chandelles : un album illustré dès 7 ans pour découvrir privilège légal, protectionnisme et conséquences invisibles."
PRODUIT,/product/t02-la-vitre-magique,"T02 La vitre magique | Livre jeunesse","La vitre magique : un album illustré dès 7 ans pour découvrir destruction, réparation et coût d’opportunité."
PRODUIT,/product/t03-la-grande-fabrique-des-regles,"T03 La grande fabrique des règles | Livre jeunesse","La grande fabrique des règles : un album illustré dès 7 ans pour découvrir loi protectrice, loi qui commande et surcharge réglementaire."
PRODUIT,/product/t04-le-mysterieux-argent-de-papier,"T04 Le mystérieux argent de papier | Livre jeunesse","Le mystérieux argent de papier : un album illustré dès 7 ans pour découvrir monnaie, richesse réelle, inflation et ordre de réception."
PRODUIT,/product/t05-la-boussole-invisible,"T05 La boussole invisible | Livre jeunesse","La boussole invisible : un album illustré dès 7 ans pour découvrir justice de la règle, finalité et proportion."
PRODUIT,/product/t06-le-ruban-de-solidarite,"T06 Le ruban de solidarité | Livre jeunesse","Le ruban de solidarité : un album illustré dès 7 ans pour découvrir aide volontaire, dignité, consentement et autonomie."
PRODUIT,/product/t07-une-histoire-de-jardin,"T07 Une histoire de jardin | Livre jeunesse","Une histoire de jardin : un album illustré dès 7 ans pour découvrir travail, propriété, responsabilité et restitution."
PRODUIT,/product/t08-le-pont-du-consentement,"T08 Le pont du consentement | Livre jeunesse","Le pont du consentement : un album illustré dès 7 ans pour découvrir accord explicite, consentement et modification unilatérale."
PRODUIT,/product/t09-quand-le-gardien-oublie-sa-mission,"T09 Quand le gardien oublie sa mission | Livre jeunesse","Quand le gardien oublie sa mission : un album illustré dès 7 ans pour découvrir pouvoir confié, protection et limites de mission."
PRODUIT,/product/t10-la-foire-aux-mille-prix,"T10 La foire aux mille prix | Livre jeunesse","La foire aux mille prix : un album illustré dès 7 ans pour découvrir prix, rareté, information et pénurie."
