categorie,usage,nom_fichier,slug_bebop,statut,notes
global,Hero avec personnages,lpldf-village-panorama-personnages.png,lpldf-village-panorama-personnages-png-0-om8Yus,actif,Utiliser format 1024
global,Bannière du village,lpldf-village-panorama.png,lpldf-village-panorama-png-0-glQHBc,actif,Utiliser format 1024
global,Quatuor Fred Lina Tom Milo,lpldf-quatuor.png,lpldf-quatuor-png-0-xaSk55,actif,Visuel par défaut du sélecteur Home
personnage,Portrait de Fred avec décor,lpldf-fred.png,lpldf-fred-png-0-19GR2U,actif,Page Univers
personnage,Portrait de Lina avec décor,lpldf-lina.png,lpldf-lina-png-0-x7M6oy,actif,Page Univers
personnage,Portrait de Tom avec décor,lpldf-tom.png,lpldf-tom-png-0-QbFyey,actif,Page Univers
personnage,Portrait de Milo avec décor,lpldf-milo.png,lpldf-milo-png-0-vKITar,actif,Page Univers
personnage,Portrait transparent de Fred,lpldf-fred-transparent.png,lpldf-fred-transparent-png-0-4pnzMK,actif,Sélecteur Home
personnage,Portrait transparent de Lina,lpldf-lina-transparent.png,lpldf-lina-transparent-png-0-Hj6y4I,actif,Sélecteur Home
personnage,Portrait transparent de Tom,lpldf-tom-transparent.png,lpldf-tom-transparent-png-0-M1fq5K,actif,Sélecteur Home
personnage,Portrait transparent de Milo,lpldf-milo-transparent.png,lpldf-milo-transparent-png-0-05LQT7,actif,Sélecteur Home
guide,Portrait transparent de Milton Friedman,lpldf-friedman-transparent.png,lpldf-friedman-transparent-png-0-v3zMSm,actif,Fiche guide Univers
guide,Portrait transparent de Friedrich Hayek,lpldf-hayek-transparent.png,lpldf-hayek-transparent-png-0-DhFWzM,actif,Fiche guide Univers
guide,Portrait transparent de Ludwig von Mises,lpldf-mises-transparent.png,lpldf-mises-transparent-png-0-pajeKd,actif,Fiche guide Univers
guide,Portrait transparent de Carl Menger,lpldf-menger-transparent.png,lpldf-menger-transparent-png-0-oQtUNK,actif,Fiche guide Univers
guide,Portrait transparent de Frère Martin — École de Salamanque,lpldf-salamanque-transparent.png,lpldf-salamanque-transparent-png-0-u3VrUK,actif,Fiche guide Univers
guide,Portrait transparent de Thomas d’Aquin,lpldf-daquin-transparent.png,lpldf-daquin-transparent-png-0-YsKfUh,actif,Fiche guide Univers
guide,Portrait transparent de Satoshi Nakamoto,lpldf-satoshi-transparent.png,lpldf-satoshi-transparent-png-0-jmM4Gu,actif,Fiche guide Univers
guide,Portrait transparent de Hans-Hermann Hoppe,lpldf-hoppe-transparent.png,lpldf-hoppe-transparent-png-0-jRk1oA,actif,Fiche guide Univers
guide,Portrait transparent de Murray Rothbard,lpldf-rothbard-transparent.png,lpldf-rothbard-transparent-png-0-3fVjNT,actif,Fiche guide Univers
guide,Portrait transparent d’Alexis de Tocqueville,lpldf-tocqueville-transparent.png,lpldf-tocqueville-transparent-png-0-HvDQMA,actif,Fiche guide Univers
guide,Portrait transparent de Benjamin Constant,lpldf-constant-transparent.png,lpldf-constant-transparent-png-0-zmu1CM,actif,Fiche guide Univers
guide,Portrait transparent de Jean-Baptiste Say,lpldf-say-transparent.png,lpldf-say-transparent-png-0-nXGlhq,actif,Fiche guide Univers
guide,Portrait transparent d’Anne Robert Jacques Turgot,lpldf-turgot-transparent.png,lpldf-turgot-transparent-png-0-8tKafe,actif,Fiche guide Univers
guide,Portrait transparent de John Locke,lpldf-locke-transparent.png,lpldf-locke-transparent-png-0-JBdSoL,actif,Fiche guide Univers
guide,Portrait transparent de Scuba Wizard,lpldf-scuba-transparent.png,lpldf-scuba-transparent-png-0-5Luhei,actif,Fiche créateur Univers
soutien,QR code Lightning,donation-qr.png,donation-qr-png-0-i0AoB4,actif,Page Soutenir
T00,Scène de présentation,lpldf-t00-scene-presentation.png,lpldf-t00-scene-presentation-png-0-qy0WFU,actif,Visuel Amazon A+ module 2
T00,Mini-jeux,lpldf-t00-mini-jeux.png,lpldf-t00-mini-jeux-png-0-dCEtaD,actif,Visuel Amazon A+ module 4
T01,Scène de la chandellerie,lpldf-t01-scene-chandellerie.png,lpldf-t01-scene-chandellerie-png-0-o19FrL,actif,Visuel Amazon A+ module 2
T01,Double page 01,lpldf-t01-extrait-double-page-01.png,lpldf-t01-extrait-double-page-01-png-0-qkBj4R,actif,Extrait intérieur
T01,Double page 02,lpldf-t01-extrait-double-page-02.png,lpldf-t01-extrait-double-page-02-png-0-VkwZ5C,actif,Extrait intérieur et Home
T01,Double page 03,lpldf-t01-extrait-double-page-03.png,lpldf-t01-extrait-double-page-03-png-0-pQYwqH,actif,Extrait intérieur
T01,Mini-jeux,lpldf-t01-mini-jeux.png,lpldf-t01-mini-jeux-png-0-e6jfDT,actif,Visuel Amazon A+ module 4
T02,Scène de la boulangerie,lpldf-t02-scene-boulangerie.png,lpldf-t02-scene-boulangerie-png-0-KwqwG2,actif,Visuel Amazon A+ module 2
T02,Double page 01,lpldf-t02-extrait-double-page-01.png,lpldf-t02-extrait-double-page-01-png-0-cvtHWP,actif,Extrait intérieur
T02,Double page 02,lpldf-t02-extrait-double-page-02.png,lpldf-t02-extrait-double-page-02-png-0-i9TjBt,actif,Extrait intérieur
T02,Double page 03,lpldf-t02-extrait-double-page-03.png,lpldf-t02-extrait-double-page-03-png-0-ifzIlZ,actif,Extrait intérieur
T02,Mini-jeux,lpldf-t02-mini-jeux.png,lpldf-t02-mini-jeux-png-0-E0rT3Y,actif,Visuel Amazon A+ module 4
T03,Scène de la fabrique des règles,lpldf-t03-scene-fabrique-regles.png,lpldf-t03-scene-fabrique-regles-png-0-t3Xkm1,actif,Visuel Amazon A+ module 2
T03,Double page 01,lpldf-t03-extrait-double-page-01.png,lpldf-t03-extrait-double-page-01-png-0-Z16Iw0,actif,Extrait intérieur
T03,Double page 02,lpldf-t03-extrait-double-page-02.png,lpldf-t03-extrait-double-page-02-png-0-Xc2SW7,actif,Extrait intérieur
T03,Double page 03,lpldf-t03-extrait-double-page-03.png,lpldf-t03-extrait-double-page-03-png-0-VaWCyM,actif,Extrait intérieur
T03,Mini-jeux,lpldf-t03-mini-jeux.png,lpldf-t03-mini-jeux-png-0-7vDOHN,actif,Visuel Amazon A+ module 4
T04,Scène de l’imprimerie,lpldf-t04-scene-imprimerie-billets.png,lpldf-t04-scene-imprimerie-billets-png-0-zw7OAd,actif,Visuel Amazon A+ module 2
T04,Double page 01,lpldf-t04-extrait-double-page-01.png,lpldf-t04-extrait-double-page-01-png-0-GXLa8F,actif,Extrait intérieur
T04,Double page 02,lpldf-t04-extrait-double-page-02.png,lpldf-t04-extrait-double-page-02-png-0-iiWi8h,actif,Extrait intérieur
T04,Double page 03,lpldf-t04-extrait-double-page-03.png,lpldf-t04-extrait-double-page-03-png-0-TxEmE5,actif,Extrait intérieur
T04,Mini-jeux,lpldf-t04-mini-jeux.png,lpldf-t04-mini-jeux-png-0-SBbvLX,actif,Visuel Amazon A+ module 4
T05,Double page 01,lpldf-t05-extrait-double-page-01.png,lpldf-t05-extrait-double-page-01-png-0-ozde6k,actif,Extrait intérieur
T05,Double page 02,lpldf-t05-extrait-double-page-02.png,lpldf-t05-extrait-double-page-02-png-0-3iMueP,actif,Extrait intérieur
T05,Double page 03,lpldf-t05-extrait-double-page-03.png,lpldf-t05-extrait-double-page-03-png-0-lKlYMl,actif,Extrait intérieur
produit,Pack Découverte T00 à T04,pack-decouverte-bastiat-t00-a-t04.png,pack-decouverte-bastiat-t00-a-t04-0-Ex6zm4,actif,Couverture du pack
produit,Pack Liberté et responsabilité T05 à T09,pack-liberte-et-responsabilite-t05-a-t09.png,pack-liberte-et-responsabilite-t05-a-t09-0-goJlQO,actif,Couverture du pack
produit,Couverture Tome 00,t00-le-grand-carnet-des-idees.png,t00-le-grand-carnet-des-idees-0-g0NeeX,actif,Carte produit
produit,Couverture Tome 01,t01-les-marchands-de-chandelles.png,t01-les-marchands-de-chandelles-0-lNLeCL,actif,Carte produit
produit,Couverture Tome 02,t02-la-vitre-magique.png,t02-la-vitre-magique-0-VEHUVy,actif,Carte produit
produit,Couverture Tome 03,t03-la-grande-fabrique-des-regles.png,t03-la-grande-fabrique-des-regles-0-g3lM2t,actif,Carte produit
produit,Couverture Tome 04,t04-le-mysterieux-argent-de-papier.png,t04-le-mysterieux-argent-de-papier-0-RG5sJY,actif,Carte produit
produit,Couverture Tome 05,t05-la-boussole-invisible.png,t05-la-boussole-invisible-0-KCAt4p,actif,Carte produit
produit,Couverture Tome 06,t06-le-ruban-de-solidarite.png,t06-le-ruban-de-solidarite-0-rGyO9J,actif,Carte produit
produit,Couverture Tome 07,t07-une-histoire-de-jardin.png,t07-une-histoire-de-jardin-0-080Rmw,actif,Carte produit
produit,Couverture Tome 08,t08-le-pont-du-consentement.png,t08-le-pont-du-consentement-0-56DBHs,actif,Carte produit
produit,Couverture Tome 09,t09-quand-le-gardien-oublie-sa-mission.png,t09-quand-le-gardien-oublie-sa-mission-0-Dsdqyt,actif,Carte produit
produit,Couverture Tome 10,t10-la-foire-aux-mille-prix.png,t10-la-foire-aux-mille-prix-0-xxkk0e,actif,Carte produit
avis,Avis lecteur 01,avis-lecteurs,avis-lecteurs-fFLy9P,actif,Home et page Avis
avis,Avis lecteur 02,avis-lecteur2.png,avis-lecteur2-png-0-v4l494,actif,Home et page Avis
avis,Avis lecteur 03,avis-lecteur3.png,avis-lecteur3-png-0-QQmcJK,actif,Home et page Avis
avis,Avis lecteur 04,avis-lecteur4.png,avis-lecteur4-png-0-vi4iwB,actif,Page Avis
avis,Avis lecteur 05,avis-lecteur5.png,avis-lecteur5-png-0-wsbbKz,actif,Page Avis
