type,produit,tags_obligatoires
papier,T00,"livre-papier,t00,hors-serie"
papier,T01,"livre-papier,t01,saison-1"
papier,T02,"livre-papier,t02,saison-1"
papier,T03,"livre-papier,t03,saison-1"
papier,T04,"livre-papier,t04,saison-1"
papier,T05,"livre-papier,t05,saison-2"
papier,T06,"livre-papier,t06,saison-2"
papier,T07,"livre-papier,t07,saison-2"
papier,T08,"livre-papier,t08,saison-2"
papier,T09,"livre-papier,t09,saison-2"
papier,T10,"livre-papier,t10,saison-3"
ebook,T00 à T10,"ebook,numéro-du-tome,saison-correspondante"
pack,Pack Découverte,"pack,livre-papier,saison-1"
pack,Pack Saison 2,"pack,livre-papier,saison-2"
pack,Collection T00-T10,"pack,livre-papier,collection-complete"
